date,open,close,high,low,volume,ticker
2023-10-03,2418.0,2387.25,2424.9,2372.0,2019899,ADANIENT
2023-10-04,2402.2,2464.95,2502.75,2392.25,2857377,ADANIENT
2023-10-05,2477.95,2466.35,2486.5,2446.4,1132455,ADANIENT
2023-10-06,2466.35,2478.1,2514.95,2466.05,1510035,ADANIENT
2023-10-09,2440.0,2442.6,2459.7,2411.3,1408224,ADANIENT
2023-10-10,2443.0,2498.3,2517.95,2443.0,1771910,ADANIENT
2023-10-11,2533.9,2488.6,2538.0,2482.5,1627836,ADANIENT
2023-10-12,2499.9,2506.35,2521.75,2490.65,1804818,ADANIENT
2023-10-13,2488.9,2454.55,2495.0,2422.35,2278682,ADANIENT
2023-10-16,2454.55,2429.35,2464.7,2421.85,803856,ADANIENT
2023-10-17,2459.95,2428.4,2462.0,2423.5,707543,ADANIENT
2023-10-18,2440.0,2406.35,2441.75,2401.05,776977,ADANIENT
2023-10-19,2400.0,2402.2,2414.7,2382.55,1168822,ADANIENT
2023-10-20,2398.05,2393.75,2443.95,2382.05,1240350,ADANIENT
2023-10-23,2397.8,2308.65,2412.35,2301.8,1483549,ADANIENT
2023-10-25,2320.0,2257.0,2348.05,2235.3,1540819,ADANIENT
2023-10-26,2249.0,2203.2,2249.0,2167.05,2226073,ADANIENT
2023-10-27,2222.0,2261.7,2275.0,2212.0,1244293,ADANIENT
2023-10-30,2260.05,2299.1,2305.0,2250.0,996448,ADANIENT
2023-10-31,2320.0,2294.65,2320.0,2276.0,1155280,ADANIENT
2023-11-01,2299.0,2217.3,2312.25,2207.0,1666579,ADANIENT
2023-11-02,2247.0,2215.3,2297.95,2204.2,2340997,ADANIENT
2023-11-03,2215.3,2229.85,2279.0,2215.0,1853300,ADANIENT
2023-11-06,2253.95,2246.0,2260.0,2233.0,770061,ADANIENT
2023-11-07,2257.0,2233.35,2260.0,2226.65,641554,ADANIENT
2023-11-08,2245.3,2259.95,2298.0,2235.0,1169180,ADANIENT
2023-11-09,2269.0,2214.65,2272.6,2210.1,1267890,ADANIENT
2023-11-10,2220.25,2205.1,2237.0,2198.5,1072597,ADANIENT
2023-11-12,2219.7,2211.35,2226.0,2205.1,148320,ADANIENT
2023-11-13,2215.5,2213.65,2241.9,2195.55,853633,ADANIENT
2023-11-15,2240.0,2225.4,2250.0,2220.5,696475,ADANIENT
2023-11-16,2226.0,2205.9,2232.8,2196.1,1307584,ADANIENT
2023-11-17,2205.9,2208.8,2237.95,2201.0,916518,ADANIENT
2023-11-20,2211.0,2149.85,2218.5,2142.0,1577213,ADANIENT
2023-11-21,2160.0,2196.65,2232.55,2158.35,1839502,ADANIENT
2023-11-22,2205.15,2172.65,2225.0,2153.5,1247205,ADANIENT
2023-11-23,2190.0,2175.25,2190.0,2160.6,729114,ADANIENT
2023-11-24,2179.0,2225.45,2251.95,2160.9,1946259,ADANIENT
2023-11-28,2301.0,2423.5,2512.4,2275.0,11972275,ADANIENT
2023-11-29,2468.7,2396.6,2477.65,2390.0,4561574,ADANIENT
2023-11-30,2400.05,2358.55,2409.0,2343.05,2983879,ADANIENT
2023-12-01,2370.0,2362.7,2403.35,2354.1,1792983,ADANIENT
2023-12-04,2549.95,2531.2,2595.0,2487.45,5681516,ADANIENT
2023-12-05,2531.2,2959.35,2999.9,2531.2,22879079,ADANIENT
2023-12-06,3080.0,2883.95,3154.55,2844.85,19355777,ADANIENT
2023-12-07,2900.0,2887.15,2945.9,2853.05,6325887,ADANIENT
2023-12-08,2902.7,2822.15,2927.0,2760.0,6959428,ADANIENT
2023-12-11,2837.05,2855.8,2919.9,2811.05,5064123,ADANIENT
2023-12-12,2869.1,2857.65,2895.95,2840.55,2017772,ADANIENT
2023-12-13,2860.0,2875.05,2899.1,2805.0,2805832,ADANIENT
2023-12-14,2900.95,2894.05,2932.95,2887.0,3224681,ADANIENT
2023-12-15,2912.05,2991.8,3000.0,2893.9,4921484,ADANIENT
2023-12-18,2993.95,2980.6,3027.75,2961.1,2315922,ADANIENT
2023-12-19,2988.8,2941.25,2994.35,2915.0,1741493,ADANIENT
2023-12-20,2946.0,2783.85,2968.0,2766.2,3417739,ADANIENT
2023-12-21,2750.0,2799.75,2821.95,2725.0,2678577,ADANIENT
2023-12-22,2815.95,2808.35,2847.6,2791.4,1513956,ADANIENT
2023-12-26,2817.0,2865.45,2893.75,2800.1,2048484,ADANIENT
2023-12-27,2880.7,2843.35,2894.8,2833.6,1698325,ADANIENT
2023-12-28,2855.0,2809.9,2867.35,2800.1,4102912,ADANIENT
2023-12-29,2823.9,2848.95,2863.3,2802.85,1507086,ADANIENT
2024-01-01,2852.3,2917.2,2947.0,2842.05,2898619,ADANIENT
2024-01-02,2922.0,2932.4,2948.2,2841.0,2671368,ADANIENT
2024-01-03,3047.0,3003.0,3199.0,2955.6,19725411,ADANIENT
2024-01-04,3039.4,2998.3,3044.45,2990.0,2975620,ADANIENT
2024-01-05,3009.95,3006.6,3066.9,2981.1,3219949,ADANIENT
2024-01-08,3020.0,2963.5,3027.0,2952.95,1849061,ADANIENT
2024-01-09,2990.7,3014.6,3068.8,2980.0,2885706,ADANIENT
2024-01-10,3024.0,3098.2,3112.0,3020.05,3590297,ADANIENT
2024-01-11,3120.0,3080.9,3129.0,3065.0,2008103,ADANIENT
2024-01-12,3096.35,3104.1,3125.0,3068.2,1795933,ADANIENT
2024-01-15,3127.0,3089.5,3130.0,3067.45,1407007,ADANIENT
2024-01-16,3095.0,3056.5,3104.5,3035.0,2515564,ADANIENT
2024-01-17,3033.0,2971.05,3045.0,2946.3,2897218,ADANIENT
2024-01-18,2975.55,2918.9,2985.0,2885.1,2552342,ADANIENT
2024-01-19,2945.35,2915.65,2949.45,2903.05,2014096,ADANIENT
2024-01-20,2930.0,2987.9,3015.85,2890.5,1878793,ADANIENT
2024-01-23,3014.95,2896.55,3014.95,2885.5,1827002,ADANIENT
2024-01-24,2901.0,2903.45,2929.1,2871.25,5807940,ADANIENT
2024-01-25,2903.45,2893.6,2926.35,2804.4,2601969,ADANIENT
2024-01-29,2929.0,3064.65,3092.7,2923.05,4402976,ADANIENT
2024-01-30,3081.0,3091.1,3129.9,3020.9,3115506,ADANIENT
2024-01-31,3092.75,3142.0,3151.7,3072.4,2671051,ADANIENT
2024-02-01,3156.9,3153.5,3236.95,3083.05,4686595,ADANIENT
2024-02-02,3184.95,3157.45,3208.5,3140.0,2708695,ADANIENT
2024-02-05,3170.0,3173.45,3229.4,3151.45,2191195,ADANIENT
2024-02-06,3183.9,3203.75,3228.2,3160.0,2078891,ADANIENT
2024-02-07,3220.05,3229.85,3277.95,3210.0,2095911,ADANIENT
2024-02-08,3245.6,3168.6,3245.6,3146.1,1679004,ADANIENT
