company,sector,symbol
ADANI ENTERPRISES,MISCELLANEOUS,ADANIENT
ADANI PORTS & SEZ,MISCELLANEOUS,ADANIPORTS
APOLLO HOSPITALS,MISCELLANEOUS,APOLLOHOSP
ASIAN PAINTS,PAINTS,ASIANPAINT
AXIS BANK,BANKING,AXISBANK
BAJAJ AUTO,AUTOMOBILES,BAJAJ-AUTO
BAJAJ FINANCE,FINANCE,BAJFINANCE
BAJAJ FINSERV,FINANCE,BAJAJFINSV
BHARAT ELECTRONICS,DEFENCE,BEL
BHARTI AIRTEL,TELECOM,BHARTIARTL
BPCL,ENERGY,BPCL
CIPLA,PHARMACEUTICALS,CIPLA
COAL INDIA,MINING,COALINDIA
DR. REDDYS LAB,PHARMACEUTICALS,DRREDDY
EICHER MOTORS,AUTOMOBILES,EICHERMOT
GRASIM,TEXTILES,GRASIM
HCL TECHNOLOGIES,SOFTWARE,HCLTECH
HDFC BANK,BANKING,HDFCBANK
HDFC LIFE INSURANCE,INSURANCE,HDFCLIFE
HERO MOTOCORP,AUTOMOBILES,HEROMOTOCO
HINDALCO,ALUMINIUM,HINDALCO
HINDUSTAN UNILEVER,FMCG,HINDUNILVR
ICICI BANK,BANKING,ICICIBANK
INDUSIND BANK,BANKING,INDUSINDBK
INFOSYS,SOFTWARE,INFY
ITC,FOOD & TOBACCO,ITC
JSW STEEL,STEEL,JSWSTEEL
KOTAK MAHINDRA BANK,BANKING,KOTAKBANK
L&T,ENGINEERING,LT
M&M,AUTOMOBILES,M&M
MARUTI SUZUKI,AUTOMOBILES,MARUTI
NESTLE,FOOD & TOBACCO,NESTLEIND
NTPC,POWER,NTPC
ONGC,ENERGY,ONGC
POWER GRID,POWER,POWERGRID
RELIANCE IND.,ENERGY,RELIANCE
SBI,BANKING,SBIN
SBI LIFE INSURANCE,INSURANCE,SBILIFE
SHRIRAM FINANCE,FINANCE,SHRIRAMFIN
SUN PHARMA,PHARMACEUTICALS,SUNPHARMA
TATA CONSUMER,FMCG,TATACONSUM
TATA MOTORS,AUTOMOBILES,TATAMOTORS
TATA STEEL,STEEL,TATASTEEL
TCS,SOFTWARE,TCS
TECH MAHINDRA,SOFTWARE,TECHM
TITAN,RETAILING,TITAN
TRENT,RETAILING,TRENT
ULTRATECH CEMENT,CEMENT,ULTRACEMCO
WIPRO,SOFTWARE,WIPRO
BRITANNIA,FMCG,BRITANNIA
